Day	Date	Time	Place	Title	Rating
Sat	2005/05/28	14:00	C2GA Cinema 2 General Admit	The Odd Angry Shot	M
Sun	2005/05/29	10:30	C2GA Cinema 2 General Admit	Sky Capatain & the World of Tomorrow	PG
Sun	2005/05/29	13:00	C2GA Cinema 2 General Admit	Sky Capatain & the World of Tomorrow	PG
Mon	2005/05/30	13:30	C2GA Cinema 2 General Admit	Les Choristes	M
Fri	2005/06/03	22:00	C2GA Cinema 2 General Admit	The Weather Underground	M
Sat	2005/06/04	11:00	C1GA Cinema 1 General Admit	Hero	M
Sat	2005/06/04	14:00	C2GA Cinema 2 General Admit	Wrong Side of the Road	PG
Sun	2005/06/05	10:30	C2GA Cinema 2 General Admit	Porco Rosso	PG
Sun	2005/06/05	13:00	C2GA Cinema 2 General Admit	Porco Rosso	PG
Mon	2005/06/06	1:30	C2GA Cinema 2 General Admit	Hero	M
Fri	2005/06/10	22:00	C2GA Cinema 2 General Admit	Mars Attacks!	M
Fri	2005/06/10	22:00	C1GA Cinema 1 General Admit	Mars Attacks!	M
Sat	2005/06/11	11:00	C2GA Cinema 2 General Admit	Hero	M
Sat	2005/06/11	14:00	C1GA Cinema 1 General Admit	Crystal Voyager	G
Sun	2005/06/12	10:30	C2GA Cinema 2 General Admit	Willy Wonka & the Chocolate Factory	G
Sun	2005/06/12	13:00	C2GA Cinema 2 General Admit	Willy Wonka & the Chocolate Factory	G
Mon	2005/06/13	1:30	C2GA Cinema 2 General Admit	Hero	M
Fri	2005/06/17	22:00	C1GA Cinema 1 General Admit	Valley of the Dolls	M
Sat	2005/06/18	11:00	C1GA Cinema 1 General Admit	Barbarian Invasions	MA
Sat	2005/06/18	14:00	C1GA Cinema 1 General Admit	Sweetie	M
Mon	2005/06/20	13:30	C2GA Cinema 2 General Admit	Barbarian Invasions	MA
Sat	2005/06/25	11:00	C2GA Cinema 2 General Admit	Barbarian Invasions	MA
Sat	2005/06/25	11:00	C1GA Cinema 1 General Admit	Barbarian Invasions	MA
Mon	2005/06/27	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Mon	2005/06/27	13:30	C1GA Cinema 1 General Admit	Barbarian Invasions	MA
Mon	2005/06/27	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Tue	2005/06/28	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Tue	2005/06/28	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Wed	2005/06/29	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Wed	2005/06/29	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Thu	2005/06/30	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Thu	2005/06/30	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Fri	2005/07/01	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Fri	2005/07/01	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Fri	2005/07/01	22:00	C2GA Cinema 2 General Admit	The Curse of Frankenstein	M
Sat	2005/07/02	11:00	C1GA Cinema 1 General Admit	My House in Umbria	M
Sat	2005/07/02	14:00	C2GA Cinema 2 General Admit	The Boys	MA
Sun	2005/07/03	10:30	C2GA Cinema 2 General Admit	Gremlins	PG
Sun	2005/07/03	13:00	C2GA Cinema 2 General Admit	Gremlins	PG
Mon	2005/07/04	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Mon	2005/07/04	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Mon	2005/07/04	13:30	C1GA Cinema 1 General Admit	My House in Umbria	M
Tue	2005/07/05	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Tue	2005/07/05	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Wed	2005/07/06	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Wed	2005/07/06	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Thu	2005/07/07	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Thu	2005/07/07	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Fri	2005/07/08	11:00	C2GA Cinema 2 General Admit	Animated Kids' Flicks	G
Fri	2005/07/08	13:30	C2GA Cinema 2 General Admit	Edward Scissorhands	PG
Fri	2005/07/08	22:00	C2GA Cinema 2 General Admit	The Misfits	PG
Sat	2005/07/09	11:00	C2GA Cinema 2 General Admit	My House in Umbria	M
Sat	2005/07/09	14:00	C2GA Cinema 2 General Admit	The Year My Voice Broke	M
Sun	2005/07/10	10:30	C2GA Cinema 2 General Admit	Steamboy	PG
Sun	2005/07/10	13:00	C2GA Cinema 2 General Admit	Steamboy	PG
Mon	2005/07/11	13:30	C2GA Cinema 2 General Admit	My House in Umbria	M
Fri	2005/07/15	22:00	C2GA Cinema 2 General Admit	Whatever Happened To Baby Jane?	M
Sat	2005/07/16	11:00	C1GA Cinema 1 General Admit	Touching the Void	M
Mon	2005/07/18	13:30	C2GA Cinema 2 General Admit	Touching the Void	M
Sat	2005/07/23	11:00	C1GA Cinema 1 General Admit	Touching the Void	M
Sun	2005/07/24	10:30	C1GA Cinema 1 General Admit	Shark Tale	G
Sun	2005/07/24	13:00	C1GA Cinema 1 General Admit	Shark Tale	G
Mon	2005/07/25	13:30	C1GA Cinema 1 General Admit	Touching the Void	M
Sat	2005/07/30	11:00	C1GA Cinema 1 General Admit	Ladies in Lavender	M
Sun	2005/07/31	10:30	C1GA Cinema 1 General Admit	Ice Age	G
Sun	2005/07/31	13:00	C1GA Cinema 1 General Admit	Ice Age	G
Mon	2005/08/01	13:30	C1GA Cinema 1 General Admit	Ladies in Lavender	M
Mon	2005/08/01	13:30	C2GA Cinema 2 General Admit	Ladies in Lavender	M
Sat	2005/08/06	11:00	C1GA Cinema 1 General Admit	Ladies in Lavender	M
Sun	2005/08/07	10:30	C1GA Cinema 1 General Admit	Thunderbirds Are Go!	G
Sun	2005/08/07	13:00	C1GA Cinema 1 General Admit	Thunderbirds Are Go!	G
Mon	2005/08/08	13:30	C2GA Cinema 2 General Admit	Ladies in Lavender	M
Fri	2005/08/12	22:00	C2GA Cinema 2 General Admit	The Blob	M
Sat	2005/08/13	11:00	C2GA Cinema 2 General Admit	Wondrous Oblivion	
Sat	2005/08/13	14:00	C2GA Cinema 2 General Admit	The Rats of Tobruk	M
Sun	2005/08/14	10:30	C1GA Cinema 1 General Admit	Lemony Snicket's A Series of Unfortunate Events	
Sun	2005/08/14	13:00	C1GA Cinema 1 General Admit	Lemony Snicket's A Series of Unfortunate Events	
Sun	2005/08/14	15:30	C1GA Cinema 1 General Admit	Reverence - Program 1	18+
Mon	2005/08/15	0:01	MRCH Merchandise	Owen Land Book	
Mon	2005/08/15	13:30	C1GA Cinema 1 General Admit	Wondrous Oblivion	PG
Mon	2005/08/15	18:30	C1GA Cinema 1 General Admit	Reverence - Program 2	
Fri	2005/08/19	22:00	C2GA Cinema 2 General Admit	A Streetcar Named Desire	M
Sat	2005/08/20	11:00	C1GA Cinema 1 General Admit	Wondrous Oblivion	PG
Sat	2005/08/20	14:00	C1GA Cinema 1 General Admit	Muriel's Wedding	M
Sat	2005/08/20	18:30	C1GA Cinema 1 General Admit	In a Lonely Place	PG
Sat	2005/08/20	20:30	C1GA Cinema 1 General Admit	The Writer of O	18+
Sat	2005/08/20	22:10	C1GA Cinema 1 General Admit	The Story of O	R18+
Sun	2005/08/21	10:30	C1GA Cinema 1 General Admit	Spongebob Squarepants	G
Sun	2005/08/21	13:00	C1GA Cinema 1 General Admit	Spongebob Squarepants	G
Sun	2005/08/21	15:30	C1GA Cinema 1 General Admit	Colette + George Qui?	18+
Sun	2005/08/21	18:00	C1GA Cinema 1 General Admit	The Bad and the Beautiful	PG
Sun	2005/08/21	20:30	C1GA Cinema 1 General Admit	Nora	18+
Mon	2005/08/22	13:30	C1GA Cinema 1 General Admit	Wondrous Oblivion	PG
Mon	2005/08/22	13:30	C2GA Cinema 2 General Admit	Wondrous Oblivion	PG
Mon	2005/08/22	18:30	C2GA Cinema 2 General Admit	Adaptation	MA
Mon	2005/08/22	20:45	C2GA Cinema 2 General Admit	Sade	18+
Tue	2005/08/23	18:30	C1GA Cinema 1 General Admit	Without Lying Down + The Little Princess	G
Tue	2005/08/23	18:30	C2GA Cinema 2 General Admit	Without Lying Down + The Little Princess	G
Wed	2005/08/24	18:30	C1GA Cinema 1 General Admit	Barton Fink	M
Wed	2005/08/24	20:45	C1GA Cinema 1 General Admit	Henry and June	M
Fri	2005/08/26	22:00	C2GA Cinema 2 General Admit	Brazil	M
Sat	2005/08/27	11:00	C1GA Cinema 1 General Admit	The Motorcycle Diaries	M
Sat	2005/08/27	14:00	C1GA Cinema 1 General Admit	Careful He Might Hear You	PG
Sun	2005/08/28	10:30	C1GA Cinema 1 General Admit	The Wiggles Movie	G
Sun	2005/08/28	13:00	C1GA Cinema 1 General Admit	The Wiggles Movie	G
Mon	2005/08/29	13:30	C1GA Cinema 1 General Admit	The Motorcycle Diaries	M
Fri	2005/09/02	22:00	C2GA Cinema 2 General Admit	The Wicker Man	M
Sat	2005/09/03	11:00	C2GA Cinema 2 General Admit	The Motorcycle Diaries	M
Sat	2005/09/03	11:00	C1GA Cinema 1 General Admit	The Motorcycle Diaries	M
Sat	2005/09/03	14:00	C1GA Cinema 1 General Admit	Bad Boy Bubby	R
Sun	2005/09/04	10:30	C2GA Cinema 2 General Admit	Five Children & IT	PG
Sun	2005/09/04	13:00	C2GA Cinema 2 General Admit	Five Children & IT	PG
Mon	2005/09/05	13:30	C2GA Cinema 2 General Admit	The Motorcycle Diaries	M
Fri	2005/09/09	22:00	C1GA Cinema 1 General Admit	Drunken Master	M
Sat	2005/09/10	11:00	C2GA Cinema 2 General Admit	Girl with a Pearl Earring	PG
Sat	2005/09/10	14:00	C2GA Cinema 2 General Admit	The Man From Snowy River	PG
Sun	2005/09/11	10:30	C2GA Cinema 2 General Admit	My Neighbour Totoro	PG
